filename,dish_id,background,vegetables | leafy_greens,vegetables | stem_vegetables,vegetables | non-starchy_roots,vegetables | other,fruits,protein | meat,protein | poultry,protein | seafood,protein | eggs,protein | beans/nuts,starches/grains | baked_goods,starches/grains | rice/grains/cereals,starches/grains | noodles/pasta,starches/grains | starchy_vegetables,starches/grains | other,soups/stews,herbs/spices,dairy,snacks,sweets/desserts,beverages,fats/oils/sauces,food_containers,dining_tools,other_food
dish_1556572657_rgb.png,dish,166771,0,0,0,11379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85019,0,0
dish_1556573514_rgb.png,dish,168734,21723,0,0,0,0,1682,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70980,0,0
dish_1556575014_rgb.png,dish,167921,0,0,0,18343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76905,0,0
dish_1556575083_rgb.png,dish,168506,0,12314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82349,0,0
dish_1556575124_rgb.png,dish,169514,96,12187,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80996,0,0
dish_1556575273_rgb.png,dish,166789,0,27984,0,13090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55306,0,0
dish_1556575327_rgb.png,dish,134077,54,24826,0,17195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87017,0,0
dish_1556575386_rgb.png,dish,111533,0,18416,0,14353,250,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,118606,0,0
dish_1556575446_rgb.png,dish,169493,0,22891,0,3555,8394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58836,0,0
dish_1556575499_rgb.png,dish,134316,0,28108,0,9467,2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88313,0,0
dish_1556575558_rgb.png,dish,109004,0,17071,0,15233,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121766,0,0
dish_1556575700_rgb.png,dish,135900,0,0,0,13243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114026,0,0
dish_1557853154_rgb.png,dish,216921,8,0,0,904,799,8861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35676,0,0
dish_1557853229_rgb.png,dish,215259,0,1882,0,0,0,0,191,0,3884,0,0,114,0,1000,789,0,0,14422,0,0,0,0,25626,2,0
dish_1557853314_rgb.png,dish,216493,0,0,16333,0,0,0,0,0,0,0,0,0,0,1736,0,0,0,0,0,0,0,0,28607,0,0
dish_1557853429_rgb.png,dish,164915,23,459,2749,0,0,17545,11546,0,8075,0,0,0,0,11732,0,0,0,1,0,0,0,0,46124,0,0
